step,epoch,batch_loss,running_mean,trailing_mean
368,1,0.226735,0.244811,0.177181
369,1,0.116691,0.244464,0.176409
370,1,0.151847,0.244213,0.1764
371,1,0.157144,0.243979,0.176429
372,1,0.189804,0.243833,0.176603
373,1,0.263194,0.243885,0.176709
374,1,0.161196,0.243664,0.176523
375,1,0.213032,0.243582,0.176935
376,1,0.182673,0.24342,0.177136
377,1,0.114936,0.243079,0.176555
378,1,0.163745,0.24287,0.175984
379,1,0.167993,0.242672,0.176065
380,1,0.176414,0.242498,0.176476
381,1,0.094416,0.242109,0.175634
382,1,0.111146,0.241766,0.174639
383,1,0.191511,0.241635,0.174738
384,1,0.138379,0.241366,0.174559
385,1,0.140124,0.241103,0.174024
386,1,0.192794,0.240978,0.173862
387,1,0.149121,0.240741,0.173476
388,1,0.1797,0.240583,0.172794
389,1,0.18253,0.240434,0.173082
390,1,0.110797,0.240102,0.17229
391,1,0.221242,0.240053,0.172884
392,1,0.21416,0.239987,0.172968
393,1,0.219813,0.239936,0.17364
394,1,0.252275,0.239967,0.174694
395,1,0.19717,0.239859,0.174539
396,1,0.230554,0.239835,0.174673
397,1,0.165767,0.239649,0.174545
398,1,0.170739,0.239476,0.17416
399,1,0.130609,0.239203,0.173308
400,1,0.177808,0.239049,0.173284
401,1,0.126299,0.238768,0.173139
402,1,0.171269,0.2386,0.172382
403,1,0.146528,0.238372,0.17263
404,1,0.170526,0.238204,0.172985
405,1,0.185017,0.238073,0.172647
406,1,0.151984,0.237861,0.171897
407,1,0.155525,0.237658,0.171846
408,1,0.143239,0.237427,0.171724
409,1,0.141517,0.237192,0.171508
410,1,0.102236,0.236863,0.170589
411,1,0.121987,0.236584,0.170218
412,1,0.139065,0.236347,0.169536
413,1,0.131962,0.236094,0.169298
414,1,0.154835,0.235898,0.169363
415,1,0.179904,0.235763,0.169538
416,1,0.148876,0.235554,0.169145
417,1,0.165499,0.235386,0.168985
418,1,0.261605,0.235449,0.170179
419,1,0.107932,0.235145,0.169509
420,1,0.168964,0.234987,0.16915
421,1,0.115035,0.234702,0.16828
422,1,0.155787,0.234515,0.168724
423,1,0.102503,0.234203,0.168196
424,1,0.152427,0.23401,0.167824
425,1,0.178959,0.233881,0.167264
426,1,0.168249,0.233727,0.166338
427,1,0.263001,0.233795,0.167685
428,1,0.163764,0.233631,0.168174
429,1,0.140113,0.233413,0.168251
430,1,0.162189,0.233248,0.168183
431,1,0.14235,0.233037,0.167665
432,1,0.227868,0.233025,0.168737
433,1,0.160163,0.232857,0.168489
434,1,0.152492,0.232672,0.168073
435,1,0.196753,0.232589,0.167974
436,1,0.086828,0.232255,0.166636
437,1,0.151589,0.23207,0.166696
438,1,0.131532,0.231841,0.16631
439,1,0.135711,0.231622,0.165573
440,1,0.148782,0.231433,0.165231
441,1,0.1671,0.231287,0.164789
442,1,0.150352,0.231104,0.164672
443,1,0.198971,0.231032,0.165514
444,1,0.177278,0.230911,0.16569
445,1,0.094379,0.230604,0.164797
446,1,0.176387,0.230482,0.164742
447,1,0.166418,0.230339,0.16444
448,1,0.172188,0.230209,0.164325
449,1,0.138932,0.230006,0.164303
450,1,0.159944,0.22985,0.164418
451,1,0.128677,0.229626,0.164372
452,1,0.156172,0.229463,0.16429
453,1,0.175972,0.229345,0.164522
454,1,0.190666,0.22926,0.164716
455,1,0.111162,0.229001,0.164014
456,1,0.131144,0.228786,0.163671
457,1,0.196741,0.228716,0.16358
458,1,0.135646,0.228513,0.162911
459,1,0.15998,0.228363,0.163051
460,1,0.260279,0.228433,0.163947
461,1,0.147196,0.228256,0.164007
462,1,0.161862,0.228113,0.164159
463,1,0.196439,0.228044,0.163982
464,1,0.179432,0.22794,0.163591
465,1,0.167194,0.227809,0.162918
466,1,0.176931,0.2277,0.163424
467,1,0.169283,0.227575,0.164136
468,1,0.260517,0.227645,0.164474
469,1,0.096205,0.227365,0.164269
470,1,0.187104,0.227279,0.164622
471,1,0.173533,0.227165,0.164786
472,1,0.227376,0.227165,0.165162
473,1,0.223199,0.227157,0.164762
474,1,0.241839,0.227188,0.165568
475,1,0.14127,0.227007,0.16485
476,1,0.171681,0.226891,0.164741
477,1,0.217642,0.226872,0.165768
478,1,0.141134,0.226692,0.165542
479,1,0.143946,0.226519,0.165301
480,1,0.148682,0.226357,0.165024
481,1,0.180147,0.226261,0.165881
482,1,0.153599,0.22611,0.166306
483,1,0.210324,0.226078,0.166494
